,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
UBER,316,1503,714,113,39,58,194,111,205,265,62,193,20,20,81,2,143,98,16,,66,33,34,51,4337
TAXIS99 ,2,84,289,0,22,0,11,129,1,3,1,6,0,0,1,0,0,1,0,,0,0,0,0,550
IFOOD,58,278,54,7,2,26,42,42,44,81,7,12,4,4,68,0,37,11,14,,23,25,11,15,865
LOGGI,4,100,33,2,1,0,3,0,1,88,0,0,0,0,2,0,0,1,0,,0,0,1,1,237
RAPPI,7,378,33,2,0,6,20,5,0,13,1,1,41,0,3,0,1,5,0,,6,0,8,0,530
TRTs Total,387,2343,1123,124,64,90,270,287,251,450,71,212,65,24,155,2,181,116,30,0,95,58,54,67,6519
